run_id,dataset,runtime,model,perturbation,seed,task,phenotype,n_gold,n_pred,pred_coverage,n_changed_vs_clean,macro_avg,yesno_acc,factoid_em,factoid_f1,list_f1,summary_rougeL,list_precision,list_recall,clean_run_id,delta__factoid_em,delta__factoid_f1,delta__list_f1,delta__list_precision,delta__list_recall,delta__macro_avg,delta__summary_rougeL,delta__yesno_acc
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,irrelevant_noise_heavy,13,bioasq,long_context,21,21,1.0,24,0.1149563108202814,0.0,0.0,0.08276515151515151,0.0,0.3770600917659741,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed13,0.0,0.0,0.0,0.0,0.0,-0.00041810758722524155,-0.0016724303489009662,0.0
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,irrelevant_noise_heavy,13,bioasq,multi_answer_list,6,6,1.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed13,0.0,0.0,-0.125,-0.1111111111111111,-0.14285714285714285,-0.125,0.0,0.0
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,irrelevant_noise_heavy,42,bioasq,ALL,24,24,1.0,24,0.143616390169699,0.0,0.0,0.0689709595959596,0.047619047619047616,0.4578755534637888,0.047619047619047616,0.047619047619047616,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.0,-0.07738095238095238,-0.06349206349206349,-0.09523809523809523,-0.004328024763418009,0.06006885332728035,0.0
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,irrelevant_noise_heavy,42,bioasq,long_context,21,21,1.0,24,0.12223144309541369,0.0,0.0,0.08276515151515151,0.047619047619047616,0.3585415732474556,0.047619047619047616,0.047619047619047616,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.00685702468790704,-0.020190948867419456,0.0
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,irrelevant_noise_heavy,42,bioasq,multi_answer_list,6,6,1.0,24,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.0,-0.07738095238095238,-0.06349206349206349,-0.09523809523809523,-0.07738095238095238,0.0,0.0
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,irrelevant_noise_heavy,97,bioasq,ALL,24,24,1.0,24,0.16199153354484236,0.0,0.0,0.09461198523698523,0.11904761904761905,0.4343065298947652,0.11904761904761905,0.11904761904761905,bioasq_TINY_mps_fp32_clean_seed97,0.0,0.025641025641025633,-0.005952380952380945,0.00793650793650795,-0.023809523809523794,0.014047118611725362,0.036499829758256774,0.0
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,irrelevant_noise_heavy,97,bioasq,long_context,21,21,1.0,24,0.13301787888184946,0.0,0.0,0.08276515151515151,0.11904761904761905,0.3302587449646273,0.11904761904761905,0.11904761904761905,bioasq_TINY_mps_fp32_clean_seed97,0.0,0.0,0.11904761904761905,0.11904761904761905,0.11904761904761905,0.017643460474342815,-0.048473777150247754,0.0
bioasq_TINY_mps_fp32_irrelevant_noise_heavy_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,irrelevant_noise_heavy,97,bioasq,multi_answer_list,6,6,1.0,24,0.11904761904761905,0.0,0.0,0.0,0.11904761904761905,0.0,0.11904761904761905,0.11904761904761905,bioasq_TINY_mps_fp32_clean_seed97,0.0,0.0,-0.005952380952380945,0.00793650793650795,-0.023809523809523794,-0.005952380952380945,0.0,0.0
bioasq_TINY_mps_fp32_irrelevant_noise_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,irrelevant_noise,42,bioasq,ALL,24,24,1.0,24,0.15060292215623097,0.0,0.0,0.0689709595959596,0.04761904761904762,0.4858216814099167,0.041666666666666664,0.05555555555555555,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.0,-0.07738095238095238,-0.06944444444444445,-0.0873015873015873,0.002658507223113976,0.08801498127340829,0.0
bioasq_TINY_mps_fp32_irrelevant_noise_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,irrelevant_noise,42,bioasq,long_context,18,18,1.0,24,0.12966013269322094,0.0,0.0,0.08276515151515151,0.05714285714285715,0.37873252211487507,0.05,0.06666666666666667,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.0,0.05714285714285715,0.05,0.06666666666666667,0.01428571428571429,0.0,0.0
bioasq_TINY_mps_fp32_irrelevant_noise_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,irrelevant_noise,42,bioasq,multi_answer_list,6,6,1.0,24,0.04761904761904762,0.0,0.0,0.0,0.04761904761904762,0.0,0.041666666666666664,0.05555555555555555,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.0,-0.07738095238095238,-0.06944444444444445,-0.0873015873015873,-0.07738095238095238,0.0,0.0
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise_heavy,13,bioasq,ALL,24,24,1.0,24,0.13737457961754362,0.0,0.0,0.07402146464646464,0.13333333333333333,0.3421435204903765,0.125,0.14285714285714285,bioasq_TINY_mps_fp32_clean_seed13,0.0,0.005050505050505041,0.008333333333333331,0.013888888888888895,0.0,-0.010569835315573373,-0.05566317964613193,0.0
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise_heavy,13,bioasq,long_context,17,17,1.0,24,0.11537441840750665,0.0,0.0,0.08276515151515151,0.0,0.37873252211487507,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed13,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise_heavy,13,bioasq,multi_answer_list,6,6,1.0,24,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,0.125,0.14285714285714285,bioasq_TINY_mps_fp32_clean_seed13,0.0,0.0,0.008333333333333331,0.013888888888888895,0.0,0.008333333333333331,0.0,0.0
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise_heavy,42,bioasq,ALL,24,24,1.0,24,0.15213800987552922,0.0,0.0,0.0689709595959596,0.18095238095238095,0.35862869895377636,0.16666666666666666,0.1984126984126984,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.0,0.05595238095238095,0.05555555555555555,0.05555555555555555,0.0041935949424122265,-0.03917800118273207,0.0
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise_heavy,42,bioasq,long_context,17,17,1.0,24,0.1332315612646495,0.0,0.0,0.08276515151515151,0.07142857142857144,0.37873252211487507,0.0625,0.08333333333333333,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.0,0.07142857142857144,0.0625,0.08333333333333333,0.01785714285714285,0.0,0.0
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise_heavy,42,bioasq,multi_answer_list,6,6,1.0,24,0.18095238095238095,0.0,0.0,0.0,0.18095238095238095,0.0,0.16666666666666666,0.1984126984126984,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.0,0.05595238095238095,0.05555555555555555,0.05555555555555555,0.05595238095238095,0.0,0.0
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise_heavy,97,bioasq,ALL,24,24,1.0,24,0.17752391782722665,0.0,0.0,0.09927398989898989,0.125,0.4858216814099167,0.1111111111111111,0.14285714285714285,bioasq_TINY_mps_fp32_clean_seed97,0.0,0.03030303030303029,0.0,0.0,0.0,0.029579502894109655,0.08801498127340829,0.0
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise_heavy,97,bioasq,long_context,17,17,1.0,24,0.11537441840750665,0.0,0.0,0.08276515151515151,0.0,0.37873252211487507,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_lexical_noise_heavy_seed97,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise_heavy,97,bioasq,multi_answer_list,6,6,1.0,24,0.125,0.0,0.0,0.0,0.125,0.0,0.1111111111111111,0.14285714285714285,bioasq_TINY_mps_fp32_clean_seed97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_lexical_noise_medium_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise_medium,42,bioasq,ALL,24,24,1.0,24,0.15598012921883128,0.0,0.0,0.0927804834054834,0.13333333333333333,0.39780670013650843,0.125,0.14285714285714285,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.023809523809523794,0.008333333333333331,0.013888888888888895,0.0,0.008035714285714285,0.0,0.0
bioasq_TINY_mps_fp32_lexical_noise_medium_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise_medium,42,bioasq,long_context,17,17,1.0,24,0.11537441840750665,0.0,0.0,0.08276515151515151,0.0,0.37873252211487507,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_lexical_noise_medium_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise_medium,42,bioasq,multi_answer_list,6,6,1.0,24,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,0.125,0.14285714285714285,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.0,0.008333333333333331,0.013888888888888895,0.0,0.008333333333333331,0.0,0.0
bioasq_TINY_mps_fp32_lexical_noise_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise,42,bioasq,ALL,24,24,1.0,23,0.15643800467670674,0.0,0.0,0.09461198523698523,0.13333333333333333,0.39780670013650843,0.125,0.14285714285714285,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.025641025641025633,0.008333333333333331,0.013888888888888895,0.0,0.008493589743589741,0.0,0.0
bioasq_TINY_mps_fp32_lexical_noise_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise,42,bioasq,long_context,17,17,1.0,23,0.11537441840750665,0.0,0.0,0.08276515151515151,0.0,0.37873252211487507,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bioasq_TINY_mps_fp32_lexical_noise_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,lexical_noise,42,bioasq,multi_answer_list,6,6,1.0,23,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,0.125,0.14285714285714285,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.0,0.008333333333333331,0.013888888888888895,0.0,0.008333333333333331,0.0,0.0
bioasq_TINY_mps_fp32_shuffle_snippets_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,shuffle_snippets,42,bioasq,ALL,24,24,1.0,18,0.13834568591765845,0.0,0.0,0.06592037709622456,0.125,0.36246236657440917,0.1111111111111111,0.14285714285714285,bioasq_TINY_mps_fp32_clean_seed42,0.0,-0.003050582499735041,0.0,0.0,0.0,-0.009598729015458551,-0.03534433356209926,0.0
bioasq_TINY_mps_fp32_shuffle_snippets_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,shuffle_snippets,42,bioasq,long_context,17,17,1.0,18,0.1012051185717989,0.0,0.0,0.07910445251546946,0.0,0.3257160217717261,0.0,0.0,bioasq_TINY_mps_fp32_clean_seed42,0.0,-0.0036606989996820494,0.0,0.0,0.0,-0.01416929983570775,-0.053016500343148976,0.0
bioasq_TINY_mps_fp32_shuffle_snippets_seed42,bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,shuffle_snippets,42,bioasq,multi_answer_list,6,6,1.0,18,0.125,0.0,0.0,0.0,0.125,0.0,0.1111111111111111,0.14285714285714285,bioasq_TINY_mps_fp32_clean_seed42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
