dataset,runtime,model,phenotype,perturbation,metric,n,delta_mean,delta_std,delta_min,delta_max
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,contradiction,list_precision,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,irrelevant_noise,list_precision,1,0.05,,0.05,0.05
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,irrelevant_noise_heavy,list_precision,3,0.05555555555555553,0.059919320914847196,0.0,0.119047619047619
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise,list_precision,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise_heavy,list_precision,3,0.020833333333333332,0.036084391824351615,0.0,0.0625
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise_medium,list_precision,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,shuffle_snippets,list_precision,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,contradiction,list_recall,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,irrelevant_noise,list_recall,1,0.0666666666666666,,0.0666666666666666,0.0666666666666666
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,irrelevant_noise_heavy,list_recall,3,0.05555555555555553,0.059919320914847196,0.0,0.119047619047619
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise,list_recall,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise_heavy,list_recall,3,0.027777777777777766,0.048112522432468795,0.0,0.0833333333333333
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise_medium,list_recall,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,shuffle_snippets,list_recall,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,contradiction,macro_avg,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,irrelevant_noise,macro_avg,1,0.0142857142857142,,0.0142857142857142,0.0142857142857142
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,irrelevant_noise_heavy,macro_avg,3,0.008027459191674866,0.00908749128782917,-0.0004181075872252,0.0176434604743428
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise,macro_avg,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise_heavy,macro_avg,3,0.005952380952380934,0.010309826235528998,0.0,0.0178571428571428
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise_medium,macro_avg,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,shuffle_snippets,macro_avg,1,-0.0141692998357077,,-0.0141692998357077,-0.0141692998357077
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,contradiction,summary_rougeL,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,irrelevant_noise,summary_rougeL,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,irrelevant_noise_heavy,summary_rougeL,3,-0.023445718788856,0.023569825222858568,-0.0484737771502477,-0.0016724303489009
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise,summary_rougeL,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise_heavy,summary_rougeL,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise_medium,summary_rougeL,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,shuffle_snippets,summary_rougeL,1,-0.0530165003431489,,-0.0530165003431489,-0.0530165003431489
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,contradiction,yesno_acc,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,irrelevant_noise,yesno_acc,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,irrelevant_noise_heavy,yesno_acc,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise,yesno_acc,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise_heavy,yesno_acc,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,lexical_noise_medium,yesno_acc,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,long_context,shuffle_snippets,yesno_acc,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,contradiction,factoid_em,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,irrelevant_noise,factoid_em,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,irrelevant_noise_heavy,factoid_em,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise,factoid_em,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise_heavy,factoid_em,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise_medium,factoid_em,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,shuffle_snippets,factoid_em,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,contradiction,factoid_f1,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,irrelevant_noise,factoid_f1,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,irrelevant_noise_heavy,factoid_f1,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise,factoid_f1,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise_heavy,factoid_f1,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise_medium,factoid_f1,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,shuffle_snippets,factoid_f1,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,contradiction,list_f1,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,irrelevant_noise,list_f1,1,-0.0773809523809523,,-0.0773809523809523,-0.0773809523809523
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,irrelevant_noise_heavy,list_f1,3,-0.0694444444444444,0.05991932091484724,-0.125,-0.0059523809523809
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise,list_f1,1,0.0083333333333333,,0.0083333333333333,0.0083333333333333
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise_heavy,list_f1,3,0.021428571428571398,0.030187434126442755,0.0,0.0559523809523809
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise_medium,list_f1,1,0.0083333333333333,,0.0083333333333333,0.0083333333333333
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,shuffle_snippets,list_f1,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,contradiction,list_precision,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,irrelevant_noise,list_precision,1,-0.0694444444444444,,-0.0694444444444444,-0.0694444444444444
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,irrelevant_noise_heavy,list_precision,3,-0.05555555555555553,0.05991932091484719,-0.1111111111111111,0.0079365079365079
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise,list_precision,1,0.0138888888888888,,0.0138888888888888,0.0138888888888888
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise_heavy,list_precision,3,0.0231481481481481,0.028912027770362937,0.0,0.0555555555555555
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise_medium,list_precision,1,0.0138888888888888,,0.0138888888888888,0.0138888888888888
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,shuffle_snippets,list_precision,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,contradiction,list_recall,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,irrelevant_noise,list_recall,1,-0.0873015873015873,,-0.0873015873015873,-0.0873015873015873
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,irrelevant_noise_heavy,list_recall,3,-0.08730158730158723,0.05991932091484725,-0.1428571428571428,-0.0238095238095237
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise,list_recall,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise_heavy,list_recall,3,0.0185185185185185,0.03207501495497917,0.0,0.0555555555555555
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise_medium,list_recall,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,shuffle_snippets,list_recall,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,contradiction,macro_avg,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,irrelevant_noise,macro_avg,1,-0.0773809523809523,,-0.0773809523809523,-0.0773809523809523
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,irrelevant_noise_heavy,macro_avg,3,-0.0694444444444444,0.05991932091484724,-0.125,-0.0059523809523809
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise,macro_avg,1,0.0083333333333333,,0.0083333333333333,0.0083333333333333
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise_heavy,macro_avg,3,0.021428571428571398,0.030187434126442755,0.0,0.0559523809523809
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise_medium,macro_avg,1,0.0083333333333333,,0.0083333333333333,0.0083333333333333
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,shuffle_snippets,macro_avg,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,contradiction,summary_rougeL,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,irrelevant_noise,summary_rougeL,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,irrelevant_noise_heavy,summary_rougeL,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise,summary_rougeL,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise_heavy,summary_rougeL,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise_medium,summary_rougeL,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,shuffle_snippets,summary_rougeL,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,contradiction,yesno_acc,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,irrelevant_noise,yesno_acc,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,irrelevant_noise_heavy,yesno_acc,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise,yesno_acc,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise_heavy,yesno_acc,3,0.0,0.0,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,lexical_noise_medium,yesno_acc,1,0.0,,0.0,0.0
bioasq_TINY,mps_fp32,tinyllama-1.1b-chat,multi_answer_list,shuffle_snippets,yesno_acc,1,0.0,,0.0,0.0
